Overall mean distance: 0.847 cm
Overall median distance: 0.640 cm
Std of mean distances: 0.080 cm

Per-file results:
  pred_vp_init_17475.ply: mean=0.967 cm, median=0.775 cm
  pred_vp_init_17476.ply: mean=1.002 cm, median=0.773 cm
  pred_vp_init_17477.ply: mean=1.275 cm, median=0.920 cm
  pred_vp_init_17478.ply: mean=0.863 cm, median=0.683 cm
  pred_vp_init_17479.ply: mean=0.997 cm, median=0.763 cm
  pred_vp_init_17480.ply: mean=1.089 cm, median=0.887 cm
  pred_vp_init_17481.ply: mean=0.935 cm, median=0.758 cm
  pred_vp_init_17482.ply: mean=0.882 cm, median=0.715 cm
  pred_vp_init_17483.ply: mean=0.960 cm, median=0.789 cm
  pred_vp_init_17484.ply: mean=0.860 cm, median=0.641 cm
